epoch,train_loss,val_loss,train_macro_pearson,train_macro_r2,val_macro_pearson,val_macro_r2,gene_set_size,model_variant
1,0.42539073775053876,0.40172091126441956,0.13642386035885434,0.00013825853247115827,-0.05517719768568008,-0.07338229186512453,10,specific_snp_delta_hap1
2,0.4114748813878791,0.4011822044849396,0.14990948229242845,0.0015842206504377843,0.06167875418113509,-0.07100666882510734,10,specific_snp_delta_hap1
3,0.4110029764128504,0.3999289572238922,0.1398396794768012,-0.006574381526155759,0.06926094909313708,-0.06871818439925792,10,specific_snp_delta_hap1
4,0.4106790462735879,0.4024600088596344,0.06762182036256101,0.004826855455415812,0.011927458189706613,-0.07626773159815617,10,specific_snp_delta_hap1
5,0.41241750750018075,0.400278776884079,0.11600632371316441,-0.006962099037905822,-0.021164443976345232,-0.07214818703191452,10,specific_snp_delta_hap1
6,0.4124430177885289,0.4001135528087616,0.1583990929569971,-0.0026165064450605403,0.05059721981808052,-0.07047206260125408,10,specific_snp_delta_hap1
7,0.41090028499976017,0.40108078718185425,0.16206533075564403,0.0029895313920268894,0.025378854722052663,-0.07545190900918505,10,specific_snp_delta_hap1
8,0.4112598105845398,0.41185104846954346,0.03831131556149817,-0.040362542634580854,-0.07753605268319272,-0.12039577583954368,10,specific_snp_delta_hap1
9,0.40956706491652534,0.3997083306312561,0.18321562690109533,0.0007635050186002523,0.038533505967064716,-0.06795984201982744,10,specific_snp_delta_hap1
10,0.40926266294914115,0.4003271162509918,0.20718487106589495,0.00859363698943919,0.08033653526805658,-0.06890818803854892,10,specific_snp_delta_hap1
11,0.4064700415363696,0.39980778098106384,0.17095622800255236,0.00476040266348271,-0.003175914283973602,-0.06742893694122967,10,specific_snp_delta_hap1
12,0.40730288172008494,0.40766391158103943,0.20514273897609728,0.024858946287999284,0.091117002428342,-0.09309691958507357,10,specific_snp_delta_hap1
13,0.4057806586852458,0.4037177264690399,0.188448922658976,-0.006377635582576135,0.08299679828490192,-0.08634883192167712,10,specific_snp_delta_hap1
14,0.403462317763227,0.40284767746925354,0.2097757808602152,0.02622027813165386,0.013867898071958946,-0.07684867092132278,10,specific_snp_delta_hap1
15,0.4021095998143996,0.4000509977340698,0.2714084236189752,0.0384164886558635,0.03255916362917306,-0.07238398698016134,10,specific_snp_delta_hap1
16,0.3999157311049876,0.39870521426200867,0.28661369222599026,0.05217177893939294,0.08121147427124017,-0.06981147877784818,10,specific_snp_delta_hap1
