gene_set_size,model_variant,model_state,split,macro_rmse,macro_mae,macro_pearson,macro_r2,n_genes_total,n_genes_variable,n_pearson_valid,n_r2_valid
10,specific_snp_delta_hap1,best_validation,train,0.45367302303679413,0.33371401405260886,0.34269019388396693,0.0910604090263737,10,10,10,10
10,specific_snp_delta_hap1,best_validation,val,0.5820486873731687,0.3608099389076233,0.10285791299226647,-0.0515611862904134,10,10,10,10
10,specific_snp_delta_hap1,best_validation,test,0.4628408299625793,0.3576737320423126,0.045345456926396674,-0.21357003826006266,10,10,10,10
10,specific_snp_delta_hap1,best_training,train,0.12825757670920573,0.09248733356779003,0.9665611422985403,0.9274870613976038,10,10,10,10
