depth,n_genotypes,frac_genotypes_pct,n_sites,frac_sites_pct
262,0,0.000000,305,0.000899
263,0,0.000000,279,0.000822
264,0,0.000000,298,0.000878
265,0,0.000000,288,0.000849
266,0,0.000000,311,0.000917
267,0,0.000000,305,0.000899
268,0,0.000000,316,0.000931
269,0,0.000000,321,0.000946
270,0,0.000000,317,0.000934
271,0,0.000000,310,0.000914
272,0,0.000000,333,0.000981
273,0,0.000000,283,0.000834
274,0,0.000000,322,0.000949
275,0,0.000000,304,0.000896
276,0,0.000000,334,0.000984
277,0,0.000000,326,0.000961
278,0,0.000000,286,0.000843
279,0,0.000000,314,0.000925
280,0,0.000000,304,0.000896
281,0,0.000000,344,0.001014
282,0,0.000000,342,0.001008
283,0,0.000000,287,0.000846
284,0,0.000000,304,0.000896
285,0,0.000000,305,0.000899
286,0,0.000000,305,0.000899
287,0,0.000000,296,0.000872
288,0,0.000000,309,0.000911
289,0,0.000000,305,0.000899
290,0,0.000000,324,0.000955
291,0,0.000000,293,0.000864
292,0,0.000000,298,0.000878
293,0,0.000000,332,0.000979
294,0,0.000000,305,0.000899
295,0,0.000000,308,0.000908
296,0,0.000000,302,0.000890
297,0,0.000000,310,0.000914
298,0,0.000000,296,0.000872
299,0,0.000000,310,0.000914
300,0,0.000000,336,0.000990
301,0,0.000000,324,0.000955
302,0,0.000000,329,0.000970
303,0,0.000000,299,0.000881
304,0,0.000000,276,0.000813
305,0,0.000000,282,0.000831
306,0,0.000000,311,0.000917
307,0,0.000000,322,0.000949
308,0,0.000000,343,0.001011
309,0,0.000000,311,0.000917
310,0,0.000000,314,0.000925
311,0,0.000000,320,0.000943
312,0,0.000000,307,0.000905
313,0,0.000000,332,0.000979
314,0,0.000000,342,0.001008
315,0,0.000000,322,0.000949
316,0,0.000000,289,0.000852
317,0,0.000000,326,0.000961
318,0,0.000000,329,0.000970
319,0,0.000000,341,0.001005
320,0,0.000000,325,0.000958
321,0,0.000000,347,0.001023
322,0,0.000000,338,0.000996
323,0,0.000000,340,0.001002
324,0,0.000000,321,0.000946
325,0,0.000000,335,0.000987
326,0,0.000000,346,0.001020
327,0,0.000000,347,0.001023
328,0,0.000000,324,0.000955
329,0,0.000000,345,0.001017
330,0,0.000000,336,0.000990
331,0,0.000000,329,0.000970
332,0,0.000000,330,0.000973
333,0,0.000000,320,0.000943
334,0,0.000000,288,0.000849
335,0,0.000000,311,0.000917
336,0,0.000000,333,0.000981
337,0,0.000000,335,0.000987
338,0,0.000000,319,0.000940
339,0,0.000000,332,0.000979
340,0,0.000000,333,0.000981
341,0,0.000000,323,0.000952
342,0,0.000000,347,0.001023
343,0,0.000000,344,0.001014
344,0,0.000000,328,0.000967
345,0,0.000000,331,0.000976
346,0,0.000000,320,0.000943
347,0,0.000000,344,0.001014
348,0,0.000000,301,0.000887
349,0,0.000000,292,0.000861
350,0,0.000000,335,0.000987
351,0,0.000000,364,0.001073
352,0,0.000000,329,0.000970
353,0,0.000000,286,0.000843
354,0,0.000000,323,0.000952
355,0,0.000000,295,0.000869
356,0,0.000000,298,0.000878
357,0,0.000000,330,0.000973
358,0,0.000000,336,0.000990
359,0,0.000000,309,0.000911
360,0,0.000000,388,0.001144
361,0,0.000000,323,0.000952
362,0,0.000000,364,0.001073
363,0,0.000000,327,0.000964
364,0,0.000000,381,0.001123
365,0,0.000000,327,0.000964
366,0,0.000000,339,0.000999
367,0,0.000000,365,0.001076
368,0,0.000000,332,0.000979
369,0,0.000000,362,0.001067
370,0,0.000000,384,0.001132
371,0,0.000000,306,0.000902
372,0,0.000000,374,0.001102
373,0,0.000000,364,0.001073
374,0,0.000000,333,0.000981
375,0,0.000000,354,0.001043
376,0,0.000000,340,0.001002
377,0,0.000000,351,0.001035
378,0,0.000000,350,0.001032
379,0,0.000000,354,0.001043
380,0,0.000000,352,0.001037
381,0,0.000000,353,0.001040
382,0,0.000000,369,0.001088
383,0,0.000000,347,0.001023
384,0,0.000000,322,0.000949
385,0,0.000000,351,0.001035
386,0,0.000000,368,0.001085
387,0,0.000000,352,0.001037
388,0,0.000000,339,0.000999
389,0,0.000000,319,0.000940
390,0,0.000000,379,0.001117
391,0,0.000000,317,0.000934
392,0,0.000000,371,0.001093
393,0,0.000000,383,0.001129
394,0,0.000000,353,0.001040
395,0,0.000000,384,0.001132
396,0,0.000000,350,0.001032
397,0,0.000000,340,0.001002
398,0,0.000000,344,0.001014
399,0,0.000000,345,0.001017
400,0,0.000000,377,0.001111
401,0,0.000000,368,0.001085
402,0,0.000000,313,0.000923
403,0,0.000000,366,0.001079
404,0,0.000000,354,0.001043
405,0,0.000000,334,0.000984
406,0,0.000000,379,0.001117
407,0,0.000000,387,0.001141
408,0,0.000000,372,0.001096
409,0,0.000000,362,0.001067
410,0,0.000000,340,0.001002
411,0,0.000000,310,0.000914
412,0,0.000000,356,0.001049
413,0,0.000000,323,0.000952
414,0,0.000000,364,0.001073
415,0,0.000000,407,0.001200
416,0,0.000000,394,0.001161
417,0,0.000000,413,0.001217
418,0,0.000000,350,0.001032
419,0,0.000000,356,0.001049
420,0,0.000000,394,0.001161
421,0,0.000000,378,0.001114
422,0,0.000000,328,0.000967
423,0,0.000000,337,0.000993
424,0,0.000000,348,0.001026
425,0,0.000000,408,0.001203
426,0,0.000000,372,0.001096
427,0,0.000000,342,0.001008
428,0,0.000000,360,0.001061
429,0,0.000000,338,0.000996
430,0,0.000000,358,0.001055
431,0,0.000000,403,0.001188
432,0,0.000000,358,0.001055
433,0,0.000000,381,0.001123
434,0,0.000000,356,0.001049
435,0,0.000000,399,0.001176
436,0,0.000000,390,0.001149
437,0,0.000000,369,0.001088
438,0,0.000000,379,0.001117
439,0,0.000000,382,0.001126
440,0,0.000000,386,0.001138
441,0,0.000000,372,0.001096
442,0,0.000000,367,0.001082
443,0,0.000000,366,0.001079
444,0,0.000000,352,0.001037
445,0,0.000000,374,0.001102
446,0,0.000000,361,0.001064
447,0,0.000000,349,0.001029
448,0,0.000000,370,0.001091
449,0,0.000000,370,0.001091
450,0,0.000000,382,0.001126
451,0,0.000000,346,0.001020
452,0,0.000000,345,0.001017
453,0,0.000000,371,0.001093
454,0,0.000000,342,0.001008
455,0,0.000000,365,0.001076
456,0,0.000000,359,0.001058
457,0,0.000000,377,0.001111
458,0,0.000000,373,0.001099
459,0,0.000000,378,0.001114
460,0,0.000000,333,0.000981
461,0,0.000000,321,0.000946
462,0,0.000000,391,0.001152
463,0,0.000000,417,0.001229
464,0,0.000000,365,0.001076
465,0,0.000000,372,0.001096
466,0,0.000000,369,0.001088
467,0,0.000000,387,0.001141
468,0,0.000000,409,0.001205
469,0,0.000000,423,0.001247
470,0,0.000000,363,0.001070
471,0,0.000000,382,0.001126
472,0,0.000000,386,0.001138
473,0,0.000000,365,0.001076
474,0,0.000000,366,0.001079
475,0,0.000000,394,0.001161
476,0,0.000000,400,0.001179
477,0,0.000000,427,0.001259
478,0,0.000000,362,0.001067
479,0,0.000000,350,0.001032
480,0,0.000000,388,0.001144
481,0,0.000000,410,0.001208
482,0,0.000000,382,0.001126
483,0,0.000000,366,0.001079
484,0,0.000000,405,0.001194
485,0,0.000000,386,0.001138
486,0,0.000000,354,0.001043
487,0,0.000000,419,0.001235
488,0,0.000000,394,0.001161
489,0,0.000000,396,0.001167
490,0,0.000000,420,0.001238
491,0,0.000000,378,0.001114
492,0,0.000000,383,0.001129
493,0,0.000000,384,0.001132
494,0,0.000000,405,0.001194
495,0,0.000000,385,0.001135
496,0,0.000000,390,0.001149
497,0,0.000000,447,0.001317
498,0,0.000000,394,0.001161
499,0,0.000000,377,0.001111
500,0,0.000000,388,0.001144
