BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA1423726,Transcriptome analysis of maize leaves under simulated drought conditions using PEG-6000,"To elucidate the gene expression profile of maize seedlings after drought, we subjected them to a 20% PEG-6000 simulated drought treatment for 7 days. Before the drought treatment, transcriptome analysis was conducted on the leaves of maize seedlings at 12h, 24h, 48h, and 96h, as well as after rehydration for 48h",2026-02-13,raw sequence reads,Heilongjiang Bayi Agricultural University,no,,SUB15999601
PRJNA1423189,Transcriptomes of wild-type and HB127-OE lines under water and salt stress,Transcriptome profiling of wild-type and HB127-overexpressing (HB127-OE) maize treated with water and salt for 1 hour,2026-02-12,raw sequence reads,Shandong Agricultural University,no,,SUB16002377
PRJNA1419854,Comparative transcriptomics of maize B73 and ZmCCD8 mutant under nitrogen and water stress,Strigolactones (SLs) modulate multiple aspects of plant development and stress physiology. This study investigated the role of SLs in maize adaptation to nutrient and water limitation by comparing the root transcriptomes of an SL-biosynthesis mutant (zmccd8) and the wild type (WT).,2026-02-06,Transcriptome or Gene expression,Università di Padova,yes,GSE318738,SUB16344980
PRJNA1418938,Identification of a pleiotropic QTL underlying ear traits of maize (Zea mays L.) through controlling the maintenance of inflorescence meristem,"The ear of maize is a highly domesticated organ that has undergone a substantial increase in volume compared to its wild ancestor teosinte, resulting in a significant yield enhancement in modern cultivated maize. Application of quantitative trait loci (QTLs) mapping using the maize-teosinte segregation population facilitated the identification of more potential favorable variations for utilization in cultivation. However, the mature ear traits of the maize-teosinte population are influenced by genetic introgression from teosinte, which poses significant challenges to the investigation of yield-related traits due to abnormal sex differentiation of the inflorescence at the immature ear stage. To address this, this study investigated mature ear traits along with the activity of the ear inflorescence meristem (IM) using a population of 590 recombinant inbred lines (RILs) derived from maize inbred line Zheng 58 and teosinte, and conducted QTL mapping. A total of 32 QTLs were detected across multiple environments over several years, with individual QTLs explaining 5.18% to 21.48% of the phenotypic variation. Notably, a major pleiotropic QTL regulating IM activity and many ear traits was identified and narrowed to a 3.64 cM genetic interval on chromosome 3, namely qIM3. Twenty-five candidate genes were selected with the help of transcriptome data, and Gene Ontology (GO) analysis demonstrated that qIM3 is involved in several hormone-mediated pathways and meristem development. The rapid implementation of these findings in maize molecular breeding holds important potential application value and provides broad prospects for improving maize yield.",2026-02-05,raw sequence reads,Henan Academy of Agricultural Sciences,no,,SUB15984037
PRJNA1417807,Zea mays Raw sequence reads,"Fusarium ear rot (FER), caused by Fusarium verticillioides, is a devastating disease that substantially reduces maize yield and compromises kernel quality. To investigate the genetic and molecular basis of resistance, an F2 population derived from a cross between the resistant inbred line 3IBZ2 and the susceptible line KW5G321 were analyzed. By integrating bulked segregant analysis sequencing (BSA-Seq) with RNA sequencing (RNA-Seq), a major quantitative trait locus (QTL), designated qFER4, was identified on chromosomes 4. Genetic analysis further demonstrated that qFER4 confers resistance through partial dominance. Transcriptome profiling of the resistant line revealed 7,684 and 7,906 differentially expressed genes (DEGs) at 36 and 72 hours post inoculation (hpi), respectively. These DEGs were significantly enriched in defense-related biological processes and pathways, including phenylpropanoid biosynthesis, jasmonic acid signaling, MAPK cascades, and plant-pathogen interactions. By combining QTL mapping with transcriptome analyses, four candidate genes within the qFER4 interval were screened. Sequence analysis identified extensive structural variations in the promoter and coding regions of Zm00001d053393, including a premature stop codon predicted to lead to gain of function mutation. In contrast, the other three genes exhibited only minor promoter polymorphisms with identical coding sequences between the parental lines. Overall, this study identifies a novel major-effect QTL and candidate gene associated with FER resistance, providing a foundation for gene function and a valuable genetic resource for breeding FER-resistant maize varieties.",2026-02-02,raw sequence reads;genome sequencing,"State Key Laboratory of Crop Gene Resources and Breeding, Institute of Crop Sciences, Chinese Academ",no,,SUB15984055
PRJNA1417803,Zea mays Transcriptome or Gene expression,"Fusarium ear rot (FER), caused by Fusarium verticillioides, is a devastating disease that substantially reduces maize yield and compromises kernel quality. To investigate the genetic and molecular basis of resistance, an F2 population derived from a cross between the resistant inbred line 3IBZ2 and the susceptible line KW5G321 were analyzed. By integrating bulked segregant analysis sequencing (BSA-Seq) with RNA sequencing (RNA-Seq), a major quantitative trait locus (QTL), designated qFER4, was identified on chromosomes 4. Genetic analysis further demonstrated that qFER4 confers resistance through partial dominance. Transcriptome profiling of the resistant line revealed 7,684 and 7,906 differentially expressed genes (DEGs) at 36 and 72 hours post inoculation (hpi), respectively. These DEGs were significantly enriched in defense-related biological processes and pathways, including phenylpropanoid biosynthesis, jasmonic acid signaling, MAPK cascades, and plant-pathogen interactions. By combining QTL mapping with transcriptome analyses, four candidate genes within the qFER4 interval were screened. Sequence analysis identified extensive structural variations in the promoter and coding regions of Zm00001d053393, including a premature stop codon predicted to lead to gain of function mutation. In contrast, the other three genes exhibited only minor promoter polymorphisms with identical coding sequences between the parental lines. Overall, this study identifies a novel major-effect QTL and candidate gene associated with FER resistance, providing a foundation for gene function and a valuable genetic resource for breeding FER-resistant maize varieties.",2026-02-02,transcriptome,"State Key Laboratory of Crop Gene Resources and Breeding, Institute of Crop Sciences, Chinese Academ",yes,,SUB15984034
PRJNA1404624,ZmEMF1 is required for the maintainence of H2Aub and H3K27me3 modifications in maize kernel development,"Polycomb group (PcG) proteins can silence gene expression by modifying histones, such as H2Aub and H3K27me3, which is crucial for maintaining cell type and tissue-specific gene expression patterns. However, little is known about the impact of gene regulation by PcG proteins through H2Aub and H3K27me3 during maize kernel development. Here, we characterized a maize miniature seed mutant mn8, and map-based cloning revealed that Mn8 encodes a plant specific PcG protein, ZmEMF1a. Mutation in ZmEMF1a leads to significantly reduced kernel size and weight. Molecular analyses showed that ZmEMF1a interacts with PRC1 component ZmRING1 and PRC2 subunit ZmMSI1, which is required for H2Aub and H3K27me3 establishment. ZmEMF1a deficiency causes significant reduced levels of H2Aub and H3K27me3 in the genome. The combined analysis of ChIP-seq and RNA-seq data revealed that H2Aub is negatively correlated with gene expression in maize, unlike the positive association with expression of H2Aub in Arabidopsis. Compared with WT endosperms, elevated expressions of homology genes of cell proliferation repressors, such as DA1, BB1, ES22, MADS8 and MADS14, accompanied with decreases in H3K27me3 or H2Aub levels at these loci in mn8 endosperms, indicating that lack of ZmEMF1a function impedes the deposition of H3K27me3 or H2Aub mark at cell division repressor genes. Taken together, our results show that ZmEMF1a plays a crucial role in regulating the expression of genes associated with maize kernel development through maintaining the modification levels of H2Aub and H3K27me3.",2026-01-17,raw sequence reads,China Agricultural University,yes,,SUB15938645
PRJNA1402665,Transcriptome data analysis under different conditions.,Transcriptome analysis of salt-stressed maize inoculated with synthetic microbial communities,2026-01-14,raw sequence reads,China Agricultural University,no,,SUB15930632
PRJNA1401843,A multi-omics approach to maize (Zea mays) tassel development,"The development of the male inflorescence in maize (Zea mays L.) is a complex and highly regulated process that is essential for reproductive success and yield. To gain a comprehensive understanding of the regulatory programs involved in tassel formation, including the initial specification of anther cell types, the transcriptomes, small RNAs (sRNAs), and proteomes were profiled at four developmental stages (0.5–2.0 cm). The RNAseq analysis indicates dynamic shifts in gene expression underlying the transition from indeterminate meristems to organ initiation and germinal cell determination by 2.0 cm. Complementing these data, sRNA sequencing uncovered 182 microRNAs (miRNAs) with distinct temporal patterns. A core set of 126 miRNAs was expressed throughout tassel development, while others displayed strong stage-specific enrichment. Notably, families of miRNAs that target auxin signaling were dynamically regulated, suggesting fine-tuning of hormone signaling in relation to meristem activity. Later stages were enriched for miR2275 and miR11969, which previously have both been associated with meiocytes, indicating the onset of reproductive sRNA pathways during the early stages of anther differentiation. Together, these datasets provide a broad overview of tassel development and form a backbone to enrich existing RNAseq and single cell RNAseq data sets of specific steps in tassel and initial anther development, while also adding new data on sRNA expression. Overall design: Samples from four tassel developmental stages (0.5–2.0 cm) of maize cultivar W23 were analysed by small RNA sequencing. Each sample contained two tassels and each stage was analysed in two biological replicates (i.e. two individual samples).",2026-01-12,Transcriptome or Gene expression,"Department of Plant Sciences, UC Davis Genome Center",yes,GSE316238,SUB16334183
PRJNA1401297,The transcriptome related to development of endosperm and pericarp of maize seed,To identify the candidate genes related to endosperm and pericarp development,2026-01-11,raw sequence reads,Anhui Academy of Agricultural Sciences,yes,,SUB15926361
PRJNA1398575,Dynamic and cell-type specific transcriptional reprogramming underlies the floral transition in the maize shoot apical meristem,"The floral transition in maize represents a pivotal developmental switch that determines flowering time, environmental adaptation, and yield-related traits. However, the molecular mechanisms governing shoot apical meristem reprogramming and cell identity changes during this process remain poorly understood. By integrating time-course bulk RNA-seq, single-cell transcriptomics, chromatin accessibility, and transcription factor binding profiles, we construct a spatiotemporal molecular framework of the maize shoot apical meristem floral transition. Our analyses reveal global transcriptional reprogramming accompanied by pronounced cell type-specific regulation dynamics. At a global level, our transcriptional-level inference suggests that pathways associated with chromatin remodeling, environmental response, and reproductive development are sequentially activated, based mainly on transcriptional-level inference. We further identify a ZmMADS69-ZmRap2.7-ZMM4 regulatory module that fine-tunes the floral transition within the shoot apical meristem. At single-cell resolution, we find that the floral transition is not driven by a uniform transcriptional switch, but instead emerges from the coordinated action of spatially distinct shoot apical meristem domains. Through differential expression, trajectory, and co-expression module analyses, we further identify previously unrecognized roles for the inflorescence regulators UNBRANCHED2 and UNBRANCHED3 in promoting the floral transition, suggesting that they coordinate floral induction with subsequent inflorescence development. Our study establishes a comprehensive spatiotemporal regulatory framework for maize floral transition, providing mechanistic insights into shoot apical meristem reprogramming and offering a foundation for identifying new regulators to improve maize adaptation and yield.",2026-01-06,raw sequence reads,HuaZhong Agriculture University,no,,SUB15916453
PRJNA1394308,Transcriptome sequencing analysis of maize,ZmNTL1-OE and B104 were treated under salt stress,2025-12-26,raw sequence reads,Heilongjiang Bayi Agricultural University,no,,SUB15895823
