BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA1199321,Transposable Element-Driven Expansion of Enhancer RNA Repertoires Underlies Regulatory Innovation and Polyploid Adaptation in Cereal Crops [PolyA RNA-seq],"Cereal genomes have undergone repeated polyploidization and transposable element (TE) proliferation, collectively generating complex regulatory landscapes. The evolutionary trajectories and functional implications of these landscapes, however, remain largely unexplored. By employing chromatin-bound RNA sequencing across seven cereal species, we systematically mapped 45,952 regulatory element transcripts (RETs), including 32,867 distal RETs corresponding to enhancer RNAs (eRNAs). Our analysis reveals that 56% of lineage-specific eRNAs originate from TE expansions, suggesting TEs as significant reservoirs of species-specific regulatory innovation in cereals. Notably, we uncovered a remarkable similarity in defense-related function, root-specific expression, and TE-derived origin of eRNAs across ancient and recent evolutionary layers of Triticeae, suggesting recurrent recruitment of TE-derived root-associated regulatory elements during Triticeae evolution. Furthermore, we found that young eRNA pairs in hexaploid wheat with high sequence similarity, many originating from RLG_famc8.3 and DTC_famc4.3, exhibit pronounced root specificity and coordinated expression, suggesting a targeted amplification and refinement of the successful ancestral regulatory strategy established after Triticeae divergence. To facilitate community access, we developed Cereal-eRNAdb (http://bioinfo.cemps.ac.cn/Cereal-eRNAdb/), a comprehensive database integrating 69,426 eRNAs with functional annotations across 296 samples. Our work indicates that TE-mediated innovation of root-specific eRNAs as a candidate mechanism that may contribute to Triticeae adaptation and provides a foundational resource for exploiting regulatory variation in cereal crop breeding. Overall design: Seedlings (above-ground) of common wheat (Triticum aestivum cultivars ‘Chinesespring’‘AK58’ and ‘Fielder’), barley (Hordeum vulgare cultivar ‘Morex’), rye (Secale cereale cultivar ‘Weining’), maize (Zea mays cultivar ‘B73’) and rice (Oryza sativa cultivars ‘ZH11’ and ‘Jap’) were harvested after 9-day growth. The roots, leaf and embryos of three wheat species (Triticum aestivum cultivar ‘Chinese Spring’, Triticum urartu cultivar ‘G1812’ and Aegilops tauschii cultivar ‘AL8-78’) were collected as follows: roots in the Hoagland solution were harvested after 9-day growth; the fresh immature embryos were isolated 14 days post anthesis; leaf were were harvested after 9-day growth. All the above materials were flash frozen in liquid nitrogen followed by nuclei isolation. Nuclei were isolated from 1 mL tissue powder solubilized in 20 mL ice-cold Honda buffer (0.44 M sucrose, 1.25% Ficoll, 2.5% Dextron T40, 20 mM HEPES, pH7.4, 10 mM MgCl2, 0.75% Triton X-100, 0.5 mM EDTA, 1 mM DTT, 8 mM β-mercaptoethanol, 2 µg/mL pepstatin A, 2 µg/mL aprotinin, 2 mM PMSF). The mixture was incubated on ice for 5 min, then filtered through 110 µm nylon mesh and a 40 µm cell strainer. The crude nuclei were spun down at 3,500 g for 5 min at 4°C, followed by washes with 150 µL of resuspension buffer (50% Glycerol, 0.5 mM EDTA, 25 mM Tris-HCl, pH 7.5, 100 mM NaCl, 1 mM DTT, 8 mM β-mercaptoethanol, 2 µg/mL pepstatin A, 2 µg/mL aprotinin, 2 mM PMSF, 0.4 U/µL RNase inhibitor) and 300 µL of wash buffer (25 mM Tris-HCl, pH 7.5, 300 mM NaCl, 1 M urea, 0.5 mM EDTA, 1% Tween 20, 1 mM DTT, 8 mM β-mercaptoethanol, 2 µg/mL pepstatin A, 2 µg/mL aprotinin, 2 mM PMSF, 0.4 U/µL RNase inhibitor). Again, the obtained nuclei were washed with another 150 µL of resuspension buffer and 150 µL of wash buffer. CB RNA was extracted from washed nuclei using TRIzol reagent and subjected to genomic DNA removal by TURBOTM DNase (Life Technologies). After purification with RNA Clean & ConcentratorTM-5 kit (Zymo Research, R1013), ~1 µg CB RNA was subjected to rRNA depletion by a riboPOOL kit (siTOOLs Biotech, PanPlant-10 nmol) and polyA RNA removal by oligo (dT) beads (NEB, S1419). PolyA RNA was enriched from total RNA by oligo(dT) beads. Purified CB RNA and PolyA RNA were transformed into cDNA libraries using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina (NEB #E7765) and sequenced on an Illumina NovaSeq platform.",2024-12-17,Transcriptome or Gene expression,"Functional Epigenomics Group, Biochemistry, Fudan University",no,GSE284462,SUB16277827
PRJNA1198190,The potential mechanism of flavor in waxy corn and sweet corn,"Different varieties of corn exhibit diverse and rich flavors, largely determined by the types and ratios of starches and sugars and their volatile substances. However, the processes of flavor compound formation and the mechanisms underlying flavor differences in various corn subspecies during kernel development remain unclear. We investigated sweet corn (Shenketian 811), waxy corn (Shenkenuo 602), and field corn (Zhengdan 958) using RNA-Seq and GC/LC-MS/MS to identify potential mechanisms of flavor-related compound formation at different developmental stages (14, 22, and 30 days after pollination, DAP).",2024-12-14,raw sequence reads,Shanghai Academy of Agricultural Sciences,no,,SUB14925281
PRJNA1197557,Molecular and Morphological Insights into Axillary Bud Development in Maize,RNA-seq raw data of ears.,2024-12-12,raw sequence reads,Shandong Agricultural University,yes,,SUB14925018
PRJNA1197177,Molecular and Morphological Insights into Axillary Bud Development in Maize,The raw data of ATAC-seq in ears.,2024-12-12,raw sequence reads,Shandong Agricultural University,yes,,SUB14924847
PRJNA1197145,Transcriptome sequencing analysis of 18 maize,ZmLOX3-OE and B104 were treated under salt stress,2024-12-12,raw sequence reads,BYAU,yes,,SUB14924438
PRJNA1196818,Multi-omics analysis reveals differential molecular responses of RNA polymerase common subunit ZmRPABC5b for Seedling Development in Maize,Revealing the Regulatory Mechanisms of the Maize ZmRABC5b Gene from Transcriptome and Metabolome Perspectives in seeding.,2024-12-11,raw sequence reads,China Agricultural University,yes,,SUB14922990
PRJNA1196791,The effects of exogenous methyl jasmonate and salicylic acid hydroxamic acid on maize seedlings under salt stress,"Transcriptome sequencing of maize seedlings subjected to exogenous MeJA and SHAM0, 1, 2, and 3 days under salt stress",2024-12-11,raw sequence reads,HeiLongJiangBayiuniversity,no,,SUB14921857
PRJNA1192291,Analysis of Callus Development in Maize via Genetic Mapping and Transcriptional Profiling,"We analyzed thousand B73xA188 F2 callus tissues generated from immature embryos of ears of self-pollinated B73xA188 F1 plants, collected distinct Type I and Type II calli for the genetic mapping and transcriptomic profiling. We also performed transcriptomic analysis of tissue samples collected from fast- and slow-growing callus sections of A188. Integration of genetic and transcriptomic data identified candidate DEGs that might be involved in callus development, providing genetic information for further studies of callus embryogenesis in maize.",2024-11-29,raw sequence reads;transcriptome,Kansas State University,no,,SUB14898762
PRJNA1191132,Zea mays Raw sequence reads,Raw data of transcriptome of Zea mays,2024-11-26,raw sequence reads,Institute of Medicinal Plant Development,no,,SUB14893505
PRJNA1189423,"Gene expression in droughted and well-watered maize roots in diverse, differentially conditioned soil microbiomes","The goal of this growth chamber experiment was to investigate the effects of diverse soil microbial communities on the transcriptional responses of plants to drought. Specifically, we sought to understand how soil microbiomes' past exposure to water-limited conditions (either long-term exposure to dry conditions in low-precipitation sites, or recent acute drought) impacted their interactions with plants. Six soils collected from remnant prairies crossing a steep precipitation gradient in Kansas, USA were used as the starting microbial communities. Thirty-two pots (or mesocosms) of each soil were divided among four treatments: droughted or well-watered, and with or without a host plant (Tripsacum dactyloides) in a factorial design. The soil mesocosms were ""conditioned"" in these treatments for five months. (Metagenome and metatranscriptome data from the baseline soils and the post-conditioning soils are available in a separate BioProject on NCBI SRA and GEO). Then, a microbial slurry extracted from each of the 192 conditioned soils was used to inoculate 4 plants in a subsequent experiment (the “Test Phase”): one pot per combination of watering treatment (droughted or control) and host species (Zea mays or Tripsacum dactyloides). After 4 weeks (for maize) or 5 weeks (for eastern gamagrass) we harvested one crown root per plant for 16S rRNA sequencing and another crown root for RNA-seq. The 16S and RNA-seq data for these plants (both species) are contained in this BioProject. Note that 16S rRNA sequencing data are available for all plants in this experiment, but we conducted RNA-seq only for a subset (all plants grown in microbiomes originating from the 2 driest and 2 wettest collection sites). Overall design: RNA-seq data from crown roots of maize plants inoculated with microbial slurries originating from 4 different sites. Each microbial slurry had been conditioned for 5 months under droughted or well-watered conditions and with or without a plant host (see abstract). Each independent slurry was used to inoculate 4 plants (2 maize, 2 eastern gamagrass), which were then drought-treated or well-watered, in a factorial design).",2024-11-22,Transcriptome or Gene expression,University of Kansas,yes,GSE282587,SUB15351488
PRJNA1188172,Evaluating the effect of secreted ribonucleases from Ustilago maydis on the extracellular RNA profile/repertoire of Zea mays during corn smut disease [miRNA-seq],"The apoplast of host plants serves as a dynamic interface during invasion and subsequent establishment of disease by a microbial pathogen. In the recent past, host plant apoplasts have been demonstrated to harbour small membrane bound vesicles called extracellular vesicles (EVs) that contain both RNA and protein. EVs are considered to play a significant role in cell-cell communication between the host and the pathogen during infection. In this study the RNAs associated with EVs from the host plant Zea mays under infected and uninfected conditions were sequenced. Besides EV bound RNA, plant apoplasts also contain free RNA that are equally important for host pathogen interaction. We have also detected a pool of extracellular RNA (exRNA) in Z. mays located on leaf surfaces. In this experiment, we sequenced both the free apoplastic RNA and leaf surface RNA from Z. mays during U. maydis infection and under control uninfected conditions. The U. maydis genome codes for a number of secreted ribonucleases that are essential for the pathogenesis of the fungus. For three of these ribonucleases, we have also investigated their role in the regulation of cell:cell communication between Z. mays and U. maydis. Accordingly, this study includes comparative transcript profiling of all the three different forms of exRNA between Z. mays plants infected with either wild type U. maydis or U. maydis strains lacking one or more secreted ribonucleases. Overall design: Z. mays plants of the variety B73 were infected at 7 days seedling stage with U. maydis strains SG200 WT, SG200Δnuc1Δnuc2 or SG200Δnuc3. The infected leaf samples were harvested at 5 days post infection (5 dpi). For isolation of leaf surface RNA, the leaf surfaces were sprayed with vesicle isolation buffer (VIB) followed by RNA precipitation from the rinse buffer collected through centrifugation of the leaves. For isolating EV associated and free apoplastic RNAs, the harvested leaf samples were infiltrated with VIB followed by centrifugation to collect the apoplastic wash fluid (AWF). EVs were collected from the AWF by centrifugation at 40,000g for one hour and EV associated RNAs were isolated from the pellet. The supernatant was used for the isolation of the free apoplastic RNA. For uninfected samples, the seedlings were left uninfected and leaves were harvested at 12 days post sowing for RNA isolation. Thus, three different sets of RNAs were isolated and sequenced from four different conditions including one control uninfected and three infection conditions. Three biological replicates of the samples were sequenced.",2024-11-19,Transcriptome or Gene expression,"Meyers Lab, Genome Center, University of California - Davis",yes,GSE282346,SUB14887260
PRJNA1180223,Enhanced Antioxidant Activity Improves Deep-Sowing Tolerance in Maize Inbred Line DH65232,The raw data of RNA-seq.,2024-10-31,raw sequence reads,Shandong Agricultural University,yes,,SUB14826831
PRJNA1177966,ZmSSRP1-Mediated Alterations in Chromatin Accessibility Affect Maize Development by Regulating BRD1 Transcription,The raw RNA-seq and ATAC-seq data of WT and ssrp1 at 8 DAP.,2024-10-25,raw sequence reads,Shandong Agricultural University,yes,,SUB14815448
PRJNA1174801,Spatiotemporal regulation of target mRNA cleavage by 21-nt phasiRNAs in maize anthers [degradome-seq],"In grasses, 21- and 24-nt phasiRNAs are abundantly expressed in anthers and play crucial roles in anther development and male reproduction. 21-nt phasiRNAs can act in cis to direct the cleavage of their own precursor transcripts and is thought to lack trans cleavage targets in maize. Here we show that 21-nt phasiRNAs direct the cleavage of hundreds of target mRNAs in maize, with the cleavage activity being enriched in male germ cells. Interestingly, whereas 21-nt phasiRNAs in anthers (somatic anther wall cells) do not have obvious preference for a particular nucleotide at the 5’ end and target genes implicated in stress response and cellular homeostasis, 21-nt phasiRNAs in male germ cells preferentially initiate with 5’ C and associate with ZmAGO5c/MAGO2/MS28 to target genes related to meiotic processes. Our results indicate that mRNA cleavage is a conserved mechanism used by 21-nt phasiRNAs for gene regulation. However, the sequences of 21-nt phasiRNAs and their targets show low conservation in maize and rice, suggesting that 21PHAS loci and 21-nt phasiRNA targets have undergone fast divergence in monocots. Overall design: To explore potential targets of 21-nt phasiRNA and their regulatory roles in their targets in maize，we collected maize anthers,male germ cells across various these developmental stages. and embryos from seeds .We then using these samples performed low-input sRNA-seq, RNA-seq and high sensitive degradome-seq",2024-10-18,Other,"School of Life Sciences, Tsinghua University",yes,GSE279865,SUB16005004
PRJNA1174799,Spatiotemporal regulation of target mRNA cleavage by 21-nt phasiRNAs in maize anthers [sRNA-seq],"In grasses, 21- and 24-nt phasiRNAs are abundantly expressed in anthers and play crucial roles in anther development and male reproduction. 21-nt phasiRNAs can act in cis to direct the cleavage of their own precursor transcripts and is thought to lack trans cleavage targets in maize. Here we show that 21-nt phasiRNAs direct the cleavage of hundreds of target mRNAs in maize, with the cleavage activity being enriched in male germ cells. Interestingly, whereas 21-nt phasiRNAs in anthers (somatic anther wall cells) do not have obvious preference for a particular nucleotide at the 5’ end and target genes implicated in stress response and cellular homeostasis, 21-nt phasiRNAs in male germ cells preferentially initiate with 5’ C and associate with ZmAGO5c/MAGO2/MS28 to target genes related to meiotic processes. Our results indicate that mRNA cleavage is a conserved mechanism used by 21-nt phasiRNAs for gene regulation. However, the sequences of 21-nt phasiRNAs and their targets show low conservation in maize and rice, suggesting that 21PHAS loci and 21-nt phasiRNA targets have undergone fast divergence in monocots. Overall design: To explore potential targets of 21-nt phasiRNA and their regulatory roles in their targets in maize，we collected maize anthers,male germ cells across various these developmental stages. and embryos from seeds .We then using these samples performed low-input sRNA-seq, RNA-seq and high sensitive degradome-seq",2024-10-18,Transcriptome or Gene expression,"School of Life Sciences, Tsinghua University",yes,GSE279862,SUB16004966
PRJNA1174797,Spatiotemporal regulation of target mRNA cleavage by 21-nt phasiRNAs in maize anthers [RNA-seq],"In grasses, 21- and 24-nt phasiRNAs are abundantly expressed in anthers and play crucial roles in anther development and male reproduction. 21-nt phasiRNAs can act in cis to direct the cleavage of their own precursor transcripts and is thought to lack trans cleavage targets in maize. Here we show that 21-nt phasiRNAs direct the cleavage of hundreds of target mRNAs in maize, with the cleavage activity being enriched in male germ cells. Interestingly, whereas 21-nt phasiRNAs in anthers (somatic anther wall cells) do not have obvious preference for a particular nucleotide at the 5’ end and target genes implicated in stress response and cellular homeostasis, 21-nt phasiRNAs in male germ cells preferentially initiate with 5’ C and associate with ZmAGO5c/MAGO2/MS28 to target genes related to meiotic processes. Our results indicate that mRNA cleavage is a conserved mechanism used by 21-nt phasiRNAs for gene regulation. However, the sequences of 21-nt phasiRNAs and their targets show low conservation in maize and rice, suggesting that 21PHAS loci and 21-nt phasiRNA targets have undergone fast divergence in monocots. Overall design: To explore potential targets of 21-nt phasiRNA and their regulatory roles in their targets in maize，we collected maize anthers,male germ cells across various these developmental stages. and embryos from seeds .We then using these samples performed low-input sRNA-seq, RNA-seq and high sensitive degradome-seq",2024-10-18,Transcriptome or Gene expression,"School of Life Sciences, Tsinghua University",yes,GSE279861,SUB16004965
PRJEB80094,Maize coding and non-coding RNAs involved in cold stress response in 5-day old seedlings,"Due to earlier sowing being a promising strategy for ensuring satisfactory yield and crop quality of maize despite poor environmental conditions resulting from climate change, understanding the plants’ response and adaptation to low temperatures in early developmental stages becomes a high priority. Whole transcriptome sequencing (WTS) was performed using two maize inbred lines – one tolerant to cold, LT and one susceptible, LS, at the five-day-old seedling stage. RNA extraction and sequencing were performed after 6h and 24h of cold treatment (10/8° C). The same was done for control seedlings (25°/20°C). The paired-end (PE) 150bp sequencing was performed on the NovaSeq 6000 (Illumina®, CA, USA).",2024-10-18,Other,"Maize Research Institute ""Zemun Polje""",no,,
PRJNA1174408,The leaf accessible chromatin regions of 214 maize inbred lines,"We utilized ATAC-seq data from the leaf tissue of 214 maize inbred lines to conduct genome-wide association analyses. We also integrated ATAC-seq data with multiomic data, including ChIA-PET, ChIP-seq, RNA-seq, and phenotypic data, to systematically examine the role of chromatin accessibility in shaping the transcriptional landscape and complex traits. This study advances our understanding of the genetic basis of chromatin accessibility and contributes to unravelling the noncoding regulatory complexity associated with complex traits.",2024-10-18,raw sequence reads,Huazhong Agricultural University,no,,SUB14791010
PRJNA1166909,Transcriptome analysis of differentially expressed genes (DEGs) induced by Sporisorium reilianum between the two lines of ZmWRKY-KO and B73,"The 7d-mesocotyls of wild type B73 and its ZmWRKY53-KO counterparts were treated with or without S. reilianum for RNA sequencing.The differentially expressed genes (DEGs) were identified based on the criteria of fold-change > 2 and P < 0.05. Under normal conditions, we found 1,025 downregulated and 599 upregulated differentially expressed genes (DEGs) in the ZmWRKY53-KO plant compared to its wild-type B73 counterpart. Under S. reilianum-infected conditions, 1,041 downregulated and 1,268 upregulated DEGs were identified in the ZmWRKY53-KO plant. Overall design: To invesigate the ZmWRKY53 mediated resistance to maize head smut disease, we performed RNA-Seq between ZmWRKY-KO and B73.",2024-09-29,Transcriptome or Gene expression,China Agricultural University,yes,GSE278385,SUB14770469
PRJNA1165461,The B-type Response Regulator ZmRR5 Orchestrates Kernel Size by Modulating the Development of BETL in Maize,RNA-seq raw data of mutant and wild type endosperm of 4DAP.,2024-09-26,raw sequence reads,Shandong Agricultural University,yes,,SUB14751301
PRJNA1165409,"The row data of Bulked-segregant RNA-seq (BSR) sequence of les32 and the wild-type (WT), and the row data of transcriptional sequence of zmphoh-3 and the WT B73","Other than the main source of energy for plant growth and development, carbohydrates are also known to be involved in plant defense termed sweet immunity. However, the key genetic components and molecular mechanisms underlying sweet immunity remain elusive. In this study, we identified a maize lesion mimic (les) mutant les32 that shows enhanced resistance to Curvularia leaf spot (CLS) and Southern corn rust (SCR). By map-based cloning, we found that a stop-gain mutation of ZmPHOH, encoding a cytosolic-specific starch phosphorylase, is responsible for les32-conferred les phenotype and enhanced resistance. By transcriptional analysis, we found the genes involved in phenylpropanoid biosynthesis were dominantly enriched in differentially expressed genes in the Zmphoh mutant versus the wild type. In summary, our study suggests that excessive accumulation of carbohydrates such as raffinose could trigger phenylpropanoid biosynthesis, thereby conferring multiple disease resistance (MDR) in maize. This study expands our understanding of sweet immunity and provides a direct target for genetic modifications to improve MDR in maize.",2024-09-25,raw sequence reads,henan agriculture university,no,,SUB14749194
PRJNA1161467,RNA-Seq of maize sheath,"To elucidate the molecular mechanism underlying ZmLecRK1-mediated resistance, we performed an RNA-Seq analysis using field-grown KN5585 and zmlecrk1-c2 plants infected with one of the fungal pathogen R. solani at 72 hours post inoculation.",2024-09-16,raw sequence reads,China Agricultural University,yes,,SUB14728873
PRJNA1160837,Evaluating the effect of secreted ribonucleases from Ustilago maydis on the extracellular RNA profile/repertoire of Zea mays during corn smut disease,"The apoplast of host plants serves as a dynamic interface during invasion and subsequent establishment of disease by a microbial pathogen. In the recent past, host plant apoplasts have been demonstrated to harbour small membrane bound vesicles called extracellular vesicles (EVs) that contain both RNA and protein. EVs are considered to play a significant role in cell-cell communication between the host and the pathogen during infection. In this study the RNAs associated with EVs from the host plant Zea mays under infected and uninfected conditions were sequenced. Besides EV bound RNA, plant apoplasts also contain free RNA that are equally important for host pathogen interaction. We have also detected a pool of extracellular RNA (exRNA) in Z. mays located on leaf surfaces. In this experiment, we sequenced both the free apoplastic RNA and leaf surface RNA from Z. mays during U. maydis infection and under control uninfected conditions. The U. maydis genome codes for a number of secreted ribonucleases that are essential for the pathogenesis of the fungus. For three of these ribonucleases, we have also investigated their role in the regulation of cell:cell communication between Z. mays and U. maydis. Accordingly, this study includes comparative transcript profiling of all the three different forms of exRNA between Z. mays plants infected with either wild type U. maydis or U. maydis strains lacking one or more secreted ribonucleases. Overall design: Z. mays plants of the variety B73 were infected at 7 days seedling stage with U. maydis strains SG200 WT, SG200Δnuc1Δnuc2 or SG200Δnuc3. The infected leaf samples were harvested at 5 days post infection (5 dpi). For isolation of leaf surface RNA, the leaf surfaces were sprayed with vesicle isolation buffer (VIB) followed by RNA precipitation from the rinse buffer collected through centrifugation of the leaves. For isolating EV associated and free apoplastic RNAs, the harvested leaf samples were infiltrated with VIB followed by centrifugation to collect the apoplastic wash fluid (AWF). EVs were collected from the AWF by centrifugation at 40,000g for one hour and EV associated RNAs were isolated from the pellet. The supernatant was used for the isolation of the free apoplastic RNA. For uninfected samples, the seedlings were left uninfected and leaves were harvested at 12 days post sowing for RNA isolation. Thus, three different sets of RNAs were isolated and sequenced from four different conditions including one control uninfected and three infection conditions. Three biological replicates of the samples were sequenced.",2024-09-13,Transcriptome or Gene expression,"Meyers Lab, Meyers Lab, University of California - Davis",yes,GSE277127,SUB14734081
PRJNA1158220,ZmPP2C45 and ZmBELL4 suppress maize biochemical defense against insect herbivores,"PP2Cs represent the largest gene family of protein phosphatases. Current research has predominantly focused on the regulation of the PP2C.A family in the abscisic acid (ABA) signaling pathway. However, there is currently no documented research regarding the involvement of PP2Cs in plant responses to biotic stressors. In this study, we found that maize (Zea may) ZmPP2C45 is an essential but insufficient negative regulator of benzoxazinoids. Since BZXs are important defensive metabolites against insect herbivores, we hypothesized that the genetic knock-out of ZmPP2C45 could affect the performance of insect herbivores on these plants.To further investigate how ZmPP2C45 depleted BZX contents, we performed a comparative transcriptomics analysis on the Zmpp2c45 mutants and the wildtype control. As a result, 789 genes were found significantly up-regulated in the mutant plants, whereas 198 genes were down-regulated. Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analyses revealed that BZX biosynthesis-related genes were over-represented among the up-regulated genes in the Zmpp2c45 plants Overall design: Maize inbred line KN5585 was used as the genetic background for genome editing of ZmPP2C45. The expression level were tested between maize inbred line KN5585 (WT) and ZmPP2C45 knock-out line. Leaves of two-week-old maize seedlings were used for RNAseq analyses",2024-09-07,Transcriptome or Gene expression,"Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences",yes,GSE276608,SUB15548297
PRJNA1150623,The genetic architecture of cell-type-specific cis-regulation [RNA-seq],"An understanding of how genetic variants affect chromatin accessibility in unique cellular context remains poorly understood. Here, we generated single-cell chromatin accessibility profiles in nearly 200 diverse maize inbred lines, revealing for the first time variants that affect chromatin accessibility in distinct cellular contexts. Overall design: snRNA-seq on maize 7 DAS seedlings (B73 and Mo17)",2024-08-21,Transcriptome or Gene expression,"Genetics, University of Georgia",yes,GSE275409,SUB15436376
PRJNA1149556,ZmEMF1 is required for the maintainence of H2Aub and H3K27me3 modifications in maize kernel development,"Polycomb group (PcG) proteins can silence gene expression by modifying histones, such as H2Aub and H3K27me3, which is crucial for maintaining cell type and tissue-specific gene expression patterns. However, little is known about the impact of gene regulation by PcG proteins through H2Aub and H3K27me3 during maize kernel development. Here, we characterized a maize miniature seed mutant mn8, and map-based cloning revealed that Mn8 encodes a plant specific PcG protein, ZmEMF1a. Mutation in ZmEMF1a leads to significantly reduced kernel size and weight. Molecular analyses showed that ZmEMF1a interacts with PRC1 component ZmRING1 and PRC2 subunit ZmMSI1, which is required for H2Aub and H3K27me3 establishment. ZmEMF1a deficiency causes significant reduced levels of H2Aub and H3K27me3 in the genome. The combined analysis of ChIP-seq and RNA-seq data revealed that H2Aub is negatively correlated with gene expression in maize, unlike the positive association with expression of H2Aub in Arabidopsis. Compared with WT endosperms, elevated expressions of homology genes of cell proliferation repressors, such as DA1, BB1, ES22, MADS8 and MADS14, accompanied with decreases in H3K27me3 or H2Aub levels at these loci in mn8 endosperms, indicating that lack of ZmEMF1a function impedes the deposition of H3K27me3 or H2Aub mark at cell division repressor genes. Taken together, our results show that ZmEMF1a plays a crucial role in regulating the expression of genes associated with maize kernel development through maintaining the modification levels of H2Aub and H3K27me3.",2024-08-19,raw sequence reads,China Agricultural University,no,,SUB14669001
PRJNA1146780,Zea mays Genome sequencing,"To investigate the functions of ZmMADS8 and ZmMADS14 in maize floral development, we performed ScRNA sequencing (ScRNA-seq) using floral meristem",2024-08-11,genome sequencing,Huazhong Agricultural University,no,,SUB14658864
PRJNA1146779,Zea mays Raw sequence reads,"To investigate the functions of ZmMADS8 and ZmMADS14 in maize floral development, we performed RNA sequencing (RNA-seq) using floral meristem",2024-08-11,raw sequence reads,Huazhong Agricultural University,no,,SUB14658858
PRJNA1146778,Zea mays Raw sequence reads,"To investigate the functions of ZmMADS8 and ZmMADS14 in maize floral development, we performed ScRNA sequencing (ScRNA-seq) using floral meristem",2024-08-11,raw sequence reads,Huazhong Agricultural University,no,,SUB14658855
PRJNA1145090,Low isopentenyl transferase activity induced the apical silk none-exsertion under heat and drought stress,Transcriptome data of maize silk under high temperature and drought stress,2024-08-06,raw sequence reads,Henan Agricultural University,no,,SUB14602683
PRJNA1144095,The Exserohilum turcicum effector EtEC81 reprograms alternative splicing in maize and activates immunity,"Some pathogen-derived effectors reprogram mRNA splicing in their host plant to regulate plant immune responses. The fungus Exserohilum turcicum is the causal agent of northern corn leaf blight, a damaging maize (Zea mays) disease. However, the low efficiency of genetic transformation of E. turcicum has hampered research on its effectors and whether E. turcicum effectors interfere with RNA splicing remained unknown. Here, using an alternative splicing (AS) reporter system, we identified the secreted protein EtEC81 (Exserohilum turcicum effector 81), which modulates the AS of maize pre-mRNAs and negatively regulates the pathogenicity of E. turcicum. EtEC81 physically interacts with EtEC81-interactiNG protein 1 (ZmEIP1), which associates with maize spliceosome components, regulating AS and positively regulating the defense response against E. turcicum. EtEC81 binding further enhanced the effect of ZmEIP1 on AS. Transcriptome analysis revealed 119 common genes with altered AS in maize plants transiently overexpressing ZmEIP1 or EtEC81, suggesting that these factors cause the mis-regulation of cellular activities and thus induce immune responses. We used RT-qPCR to verify representative AS events in the plants transiently overexpressing ZmEIP1 and EtEC81. Together, our results suggest that the EtEC81 effector targets ZmEIP1 to reprogram pre-mRNA splicing in maize. Overall design: The fourth leaves of transgenic maize plants with virus-induced overexpression of EtEC81 or GFP and T2 transgenic maize plants overexpressing ZmEIP1 and WT plants were collected for total RNA extraction and RNA-seq library construction. The RNA-seq libraries were sequenced on an Illumina HiSeq platform in paired-end mode with a read length of 150 bp (Novogene, Beijing, China). The raw reads were filtered using ht2-filter in the HTQC package (1.92.1) with default parameters to remove low-quality reads. The filtered reads were compared to the reference maize genome (Zea mays RefGen_V4) using TopHat (2.0.11) to remove host genome sequences. The mapped reads were assembled, and fragments per kilobase of transcript per million mapped reads (FPKM) values were calculated using Cufflinks. The Cufflinks output GTF file and the TopHat output BAM file were loaded into rMATS.3.2.2 to identify differential AS events. AS events with a P value < 0.05 were considered to be differential AS events.",2024-08-04,Transcriptome or Gene expression,Chinese Academy of Agricultural Sciences,yes,GSE273918,SUB14696671
PRJNA1141271,Maize leaf development transcriptome,Maize leaf development transcriptome,2024-07-29,raw sequence reads,Henan Academy of Agricultural Sciences,yes,,SUB14629606
PRJNA1141091,Maize treated with ZnO-nanoparticles against salt stress,"Maize plants grown in field conditions were treated by synthetized ZnO-nanoparticles, against salt stress.",2024-07-28,raw sequence reads;Transcriptome or Gene expression,Hungarian University of Agricultural and Life Sciences,yes,,SUB14629192
PRJNA1140906,RNA-seq data of ZmNRT2.5 mutant in maize husk,RNAseq data of ZmNRT2.5 compared to the wild type in early development stage of maize husk under high and low nitrogen treatment conditions.,2024-07-28,raw sequence reads,China Agricultural University,no,,SUB14624588
PRJNA1135985,Effects of high temperature and drought stress on maize pollen,"The transcriptome data mainly focused on the effects of high temperature (T), drought (D), and combined stress (DT) on gene expression of maize mature pollen.",2024-07-15,raw sequence reads,Agricultural college,yes,,SUB14602327
PRJNA1134222,The genetic architecture of cell-type-specific cis-regulation,"Gene expression and complex phenotypes are determined by the activity of cis-regulatory elements. However, an understanding of how extant genetic variants affect cis-regulatory activity remains limited. Here, we investigated the consequences of cis-regulatory diversity using single-cell genomics of >0.7 million nuclei across 172 maize inbreds. Our analyses pinpointed cis-regulatory elements distinct to domesticated maize and how transposons rewired the regulatory landscape. We found widespread chromatin accessibility variation associated with >4.6 million genetic variants with largely cell-type-specific effects. Variants in TEOSINTE BRANCHED1/CYCLOIDEA/PROLIFERATING CELL FACTOR binding sites were the most prevalent determinants of chromatin accessibility. Finally, integration of genetic variants associated with chromatin accessibility, organismal trait variation, and population differentiation revealed how local adaptation has rewired regulatory networks in unique cellular context to alter maize flowering phenotypes.",2024-07-10,raw sequence reads,University of Georgia,yes,,SUB14590659
